index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Iros Torch	10	0		1					1	1	7	5	wnd	Wand	0	5	5000	cred			invwndu				nec		1	1	lifesteal		6	6	dmg-fire		8	9	light		3	3	enr		10	10	regen-mana		5	5																										0
Maelstromwrath	11	0		1					1	1	19	14	ywn	Yew Wand	0	5	5000	dblu	dblu						ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	3	3	skill	77	3	3	skill	66	3	3	skill	76	3	3														0
Gravenspine	12	0		1					1	1	27	20	bwn	Bone Wand	0	5	5000	cgrn			invbwnu				str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		44	50																		0
Umes Lament	13	0		1					1	1	38	28	gwn	Grim Wand	0	5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	77	3	3	skill	87	2	2																										0
Felloak	14	0		1					1	1	4	3	clb	Club	0	5	5000	lgry			invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		78	80																										0
Knell Striker	15	0		1					1	1	7	5	scp	Scepter	0	5	5000	dred	dred						crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		78	80																										0
Rusthandle	16	0		1					1	1	23	17	gsc	Grand Scepter	0	5	5000	lgld	lgld						pal		1	1	dmg-norm		6	7	red-mag		1	1	lifesteal		8	8	dmg%		58	60	dmg-undead		58	60	skill	111	3	3	skill	103	3	3																		0
Stormeye	17	0		1					1	1	31	23	wsp	War Scepter	0	5	5000	cred	cred						dmg-ltng		5	6	dmg-cold	75	5	5	regen		10	10	dmg%		110	120	skill	110	5	5	skill	118	3	3	skill	121	1	1																						0
Stoutnail	18	0		1					1	1	7	5	spc	Spiked Club	0	5	5000	dgry			invspcu				thorns		9	10	dmg%		100	100	vit		7	7	red-mag		2	2																																		0
Crushflange	19	0		1					1	1	12	9	mac	Mace	0	5	5000	blac	blac						str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		58	60	crush		33	33																										0
Bloodrise	20	0		1					1	1	20	15	mst	Morning Star	0	5	5000	lblu			invmstu				dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	96	3	3	lifesteal		5	5																						0
The Generals Tan Do Li Ga	21	0		1					1	1	28	21	fla	Flail	0	5	5000	dblu	dblu						dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		58	60	swing2		20	20																						0
Ironstone	22	0		1					1	1	36	27	whm	War Hammer	0	5	5000	cblu	cblu						att		138	150	dmg%		138	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																										0
Bonesob	23	0		1					1	1	32	24	mau	Maul	0	5	5000	lred			invmauu				dmg%		275	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																														0
Steeldriver	24	0		1					1	1	39	29	gma	Great Maul	0	5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		225	250																																		0
Rixots Keen	25	0		1					1	1	3	2	ssd	Short Sword	0	5	5000	blac	blac						dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																										0
Blood Crescent	26	0		1					1	1	10	7	scm	Scimitar	0	5	5000	lblu			invscmu				res-all		15	15	dmg%		75	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	lifesteal		15	15																						0
Krintizs Skewer	27	0		1					1	1	14	10	sbr	Saber	0	5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		6	7																										0
Gleamscythe	28	0		1					1	1	18	13	flc	Falchion	0	5	5000	lred			invflcu				light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		90	100	dmg-cold	50	5	5																										0
Azurewrath	29	0		0					1	1	18	13	crs	Crystal Sword	0	5	5000	lgry			invcrsu				deadly		50	50	mag%		10	10	dmg-cold	100	6	6	dmg%		100	100	dur		25	25	dmg-mag		9	10																										0
Griswolds Edge	30	0		1					1	1	23	17	bsd	Broad Sword	0	5	5000	cred			invbsdu				fire-min		12	12	fire-max		23	25	att		100	100	swing1		10	10	knock		1	1	dmg%		110	120	str		12	12																						0
Hellplague	31	0		1					1	1	30	22	lsd	Long Sword	0	5	5000	dred			invlsdu				manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		78	80	dmg-fire		63	75	fireskill		2	2																		0
Culwens Point	32	0		1					1	1	39	29	wsd	War Sword	0	5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		78	80																										0
Shadowfang	33	0		1					1	1	16	12	2hs	2-Handed Sword	0	5	5000	cgrn			inv2hsu				manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	25	30	dmg%		100	100	lifesteal		9	9																										0
Soulflay	34	0		1					1	1	26	19	clm	Claymore	0	5	5000	dgrn	dgrn						manasteal		9	10	lifesteal		4	4	dmg%		93	100	res-all		5	5	swing2		10	10																														0
Kinemils Awl	35	0		1					1	1	31	23	gis	Giant Sword	0	5	5000	dblu			invgisu				att		138	150	mana		20	20	fire-min		6	6	fire-max		35	40	dmg%		95	100	skill	102	6	6																										0
Blacktongue	36	0		1					1	1	35	26	bsw	Bastard Sword	0	5	5000	lgrn			invbswu				dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		58	60	*hp		-10	-10																										0
Ripsaw	37	0		1					1	1	35	26	flb	Flamberge	0	5	5000	cblu	cblu						openwounds		80	80	dmg-max		15	15	manasteal		6	6	dmg%		95	100																																		0
The Patriarch	38	0		1					1	1	39	29	gsd	Great Sword	0	5	5000	cred			invgsdu				red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		115	120	str		10	10																										0
Gull	39	0		1					1	1	6	4	dgr	Dagger	0	5	5000	lgry	lgry						dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5							0	0																										0
The Diggler	40	0		1					1	1	15	11	dir	Dirk	0	5	5000	dgry	dgry						dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1																										0
The Jade Tan Do	41	0		1					1	1	26	19	kri	Kris	0	5	5000	oran			invkrsu				att		138	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20																														0
Irices Shard	42	0		1					1	1	34	25	bld	Blade	0	5	5000	dblu	dblu						cast3		50	50	mana		50	50	att		55	55	res-all		10	10																																		0
The Dragon Chang	43	0		1					1	1	11	8	spr	Spear	0	5	5000	dpur	dpur						att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		6	6																														0
Razortine	44	0		1					1	1	16	12	tri	Trident	0	5	5000	oran			invtriu				slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		45	50																										0
Bloodthief	45	0		1					1	1	23	17	brn	Brandistock	0	5	5000	whit	whit						openwounds		35	35	str		10	10	lifesteal		11	12	hp		26	26	dmg%		65	70																														0
Lance of Yaggai	46	0		1					1	1	30	22	spt	Spetum	0	5	5000	lred	lred						thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40																														0
The Tannr Gorerod	47	0		1					1	1	36	27	pik	Pike	0	5	5000	lgry	lgry						fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		95	100																		0
Dimoaks Hew	48	0		1					1	1	11	8	bar	Bardiche	0	5	5000	blac	blac						dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8																																		0
Steelgoad	49	0		1					1	1	19	14	vou	Voulge	0	5	5000	cgrn	cgrn						howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		75	80	dur		35	40																										0
Soul Harvest	50	0		1					1	1	26	19	scy	Scythe	0	5	5000	dgry			invscyu				openwounds		30	30	att		45	45	res-all		20	20	dmg%		80	90	manasteal		10	10	enr		5	5																										0
The Battlebranch	51	0		1					1	1	34	25	pax	Poleaxe	0	5	5000	lblu	lblu						swing3		30	30	dex		10	10	dmg%		65	70	att		88	100	lifesteal		7	7																														0
Woestave	52	0		1					1	1	38	28	hal	Halberd	0	5	5000	dblu	dblu						slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		35	40																		0
The Grim Reaper	53	0		1					1	1	39	29	wsc	War Scythe	0	5	5000	lpur	lpur						deadly		100	100	noheal		1	1	manasteal		5	5	dmg%		20	20	dmg-min		15	15	*hp		-20	-20																										0
Bane Ash	54	0		1					1	1	7	5	sst	Short Staff	0	5	5000	lgrn	lgrn						fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		58	60	skill	36	5	5	skill	37	2	2																		0
Serpent Lord	55	0		1					1	1	12	9	lst	Long Staff	0	5	5000	cgrn	cgrn						dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		38	40	manasteal		100	100	reduce-ac		50	50																						0
Lazarus Spire	56	0		1					1	1	24	18	cst	Gnarled Staff	0	5	5000	lgry			invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	2	2	skill	42	3	3	regen-mana		43	43	dmg-ltng		22	28	sor		1	1														0
The Salamander	57	0		1					1	1	28	21	bst	Battle Staff	0	5	5000	dred	dred						dmg-fire		28	32	res-fire		30	30	skill	51	1	1	skill	47	2	2	skill	37	3	3	fireskill		2	2																										0
The Iron Jang Bong	58	0		1					1	1	38	28	wst	War Staff	0	5	5000	dyel	dyel						ac		30	30	cast3		20	20	dmg%		100	100	att%		50	50	skill	48	2	2	skill	46	2	2	skill	44	3	3	sor		2	2																		0
Pluckeye	59	0		1					1	1	10	7	sbw	Short Bow	0	5	5000	cblu	cblu						att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2																										0
Witherstring	60	0		1					1	1	18	13	hbw	Hunter\92s Bow	0	5	5000	lred	lred						swing3		30	30	dmg-min		1	1	dmg-max		3	3	att		50	50	magicarrow		3	3	dmg%		48	50																										0
Rimeraven	61	0		1					1	1	20	15	lbw	Long Bow	0	5	5000	dred	dred						att%		50	50	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		68	70																														0
Piercerib	62	0		1					1	1	27	20	cbw	Composite Bow	0	5	5000	cred			invcbwu				res-all		10	10	deadly		30	30	att		60	60	dmg-undead		100	100	dmg%		55	60	swing2		50	50																										0
Pullspite	63	0		1					1	1	34	25	sbb	Short Battle Bow	0	5	5000	lgrn			invsbbu				dmg-ltng		23	30	str		8	8	att		28	28	pierce		25	25	res-ltng		25	25	dmg%		85	90																										0
Wizendraw	64	0		1					1	1	35	26	lbb	Long Battle Bow	0	5	5000	dgrn	dgrn						magicarrow		5	5	mana		30	30	swing2		20	20	res-cold		26	26	att		88	100	dmg%		78	80	enr		15	15	pierce-cold		32	35																		0
Hellclap	65	0		1					1	1	36	27	swb	Short War Bow	0	5	5000	cgrn			invswbu				swing1		10	10	fire-min		15	15	fire-max		45	50	att		69	75	res-fire		40	40	dex		12	12	dmg%		85	90	fireskill		1	1																		0
Blastbark	66	0		1					1	1	38	28	lwb	Long War Bow	0	5	5000	lyel	lyel						dmg%		115	130	str		5	5	ama		1	1	manasteal		3	3	skill	16	2	2																														0
Leadcrow	67	0		1					1	1	12	9	lxb	Light Crossbow	0	5	5000	dyel			invlxbu				dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		25	25	att		40	40																										0
Ichorsting	68	0		1					1	1	24	18	mxb	Crossbow	0	5	5000	lgld			invmxbu				dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		50	50	swing2		20	20																										0
Hellcast	69	0		1					1	1	36	27	hxb	Heavy Crossbow	0	5	5000	dgld			invhxbu				explosivearrow		5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing2		20	20	dmg%		78	80	dmg-fire		30	35																						0
Doomspittle	70	0		1					1	1	38	28	rxb	Repeating Crossbow	0	5	5000	lpur			invrxbu				ama		1	1	pierce		35	35	swing3		30	30	hp		15	15	dmg%		90	100																														0
War Bonnet	71	0		1					1	1	4	3	cap	Cap	0	5	5000	dpur			invcapu				hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14																														0
Tarnhelm	72	0		1					1	1	20	15	skp	Skull Cap	0	5	5000	oran	oran						gold%		75	75	mag%		44	50	allskills		1	1																																						0
Coif of Glory	73	0		1					1	1	19	14	hlm	Helm	0	5	5000	whit			invhlmu				light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																														0
Duskdeep	74	0		1					1	1	23	17	fhl	Full Helm	0	5	5000	lgry			invfhlu				light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		8	8	ac		18	20	ac%		30	50																										0
Wormskull	75	0		1					1	1	28	21	bhm	Bone Helm	0	5	5000	lgrn			invbhmu				nec		1	1	lifesteal		5	5	mana		10	10	res-pois		25	25	dmg-pois	200	102	102																														0
Howltusk	76	0		1					1	1	34	25	ghm	Great Helm	0	5	5000	dgry	dgry						red-mag		2	2	thorns		3	3	ac%		80	80	dmg-to-mana		35	35	knock		1	1	howl		33	33																										0
Undead Crown	77	0		1					1	1	39	29	crn	Crown	0	5	5000	blac	blac						lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		88	100	skill	69	3	3																		0
The Face of Horror	78	0		1					1	1	27	20	msk	Mask	0	5	5000	lblu	lblu						howl		64	64	str		20	20	res-all		10	10	dmg-undead		50	50	ac		25	25																														0
Greyform	79	0		1					1	1	10	7	qui	Quilted Armor	0	5	5000	lgry	lgry						red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																										0
Blinkbats Form	80	0		1					1	1	16	12	lea	Leather Armor	0	5	5000	dred	dred						ac-miss		50	50	move2		10	10	ac		25	25	fire-min		3	3	fire-max		6	6	balance2		40	40																										0
The Centurion	81	0		1					1	1	19	14	hla	Hard Leather	0	5	5000	cred	cred						ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15	stam		15	15	regen		5	5	stamdrain		25	25																		0
Twitchthroe	82	0		1					1	1	22	16	stu	Studded Leather	0	5	5000	lgrn	lgrn						swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																										0
Darkglow	83	0		1					1	1	19	14	rng	Ring Mail	0	5	5000	dgrn	dgrn						att		20	20	res-all-max		5	5	light		3	3	ac-hth		50	50	res-all		10	10	ac%		70	100																										0
Hawkmail	84	0		1					1	1	20	15	scl	Scale Mail	0	5	5000	cgrn	cgrn						ac%		80	100	res-cold-max		15	15	res-cold		15	15	nofreeze		1	1	move2		10	10																														0
Sparking Mail	85	0		1					1	1	23	17	chn	Chain Mail	0	5	5000	lyel	lyel						ac%		75	85	dmg-ltng		16	20	light-thorns		13	14	res-ltng		30	30																																		0
Venomsward	86	0		1					1	1	27	20	brs	Breast Plate	0	5	5000	dyel	dyel						res-pois-max		15	15	res-pois-len		50	50	res-pois		90	90	light		2	2	ac%		60	100																														0
Iceblink	87	0		1					1	1	30	22	spl	Splint Mail	0	5	5000	lgld	lgld						freeze		1	1	res-cold		30	30	light		4	4	red-mag		1	1	ac%		70	80																														0
Boneflesh	88	0		1					1	1	35	26	plt	Plate Mail	0	5	5000	dgld	dgld						lifesteal		5	5	ac%		100	120	att		35	35	openwounds		25	25																																		0
Rockfleece	89	0		1					1	1	38	28	fld	Field Plate	0	5	5000	dgry	dgry						ease		-10	-10	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		5	5																														0
Rattlecage	90	0		1					1	1	39	29	gth	Gothic Plate	0	5	5000	dpur	dpur						howl		52	52	att		45	45	crush		25	25	ac		200	200																																		0
Goldskin	91	0		1					1	1	38	28	ful	Full Plate Mail	0	5	5000	oran			invfulu				ac%		120	150	res-all		35	35	thorns		10	10	light		2	2	gold%		100	100																														0
Victors Silk	92	0		1					1	1	38	28	aar	AncientArmor	0	5	5000	dblu			invaaru				manasteal		5	5	allskills		1	1	light		2	2	ac%		100	120																																		0
Heavenly Garb	93	0		1					1	1	39	29	ltp	Light Plate	0	5	5000	cblu	cblu						ac%		100	100	res-all		10	10	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100																										0
Pelta Lunata	94	0		1					1	1	3	2	buc	Buckler	0	5	5000	whit			invbucu				ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40	dur		11	12																		0
Umbral Disk	95	0		1					1	1	12	9	sml	Small Shield	0	5	5000	lgry			invsmlu				stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30	dur		14	15																		0
Stormguild	96	0		1					1	1	18	13	lrg	Large Shield	0	5	5000	dgry			invlrgu				red-mag		1	1	res-ltng		25	25	ac		30	30	dmg-ltng		5	6	ac%		50	60	block		30	30	light-thorns		3	3	dur		14	15																		0
Wall of the Eyeless	97	0		1					1	1	27	20	bsh	Bone Shield	0	5	5000	lgld			invbshu				mana-kill		5	5	manasteal		3	3	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10																										0
Swordback Hold	98	0		1					1	1	20	15	spk	Spiked Shield	0	5	5000	lred			invspku				thorns		5	5	block		20	20	openwounds		50	50	bloody		3	5	ac%		30	60	thorns		5	5	ac		10	10																						0
Steelclash	99	0		1					1	1	23	17	kit	Kite Shield	0	5	5000	blac			invkitu				block		25	25	pal		1	1	red-dmg		3	3	light		3	3	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20	dur		19	20														0
Bverrit Keep	100	0		1					1	1	26	19	tow	Tower Shield	0	5	5000	lblu			invtowu				ac		30	30	res-fire		75	75	str		5	5	red-mag		5	5	ac%		80	120	block		10	10	dur		95	100																						0
The Ward	101	0		1					1	1	35	26	gts	Gothic Shield	0	5	5000	dblu			invgtsu				ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		45	50																										0
The Hand of Broc	102	0		1					1	1	7	5	lgl	Gloves	0	5	5000	cblu	cblu						manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																										0
Bloodfist	103	0		1					1	1	12	9	vgl	Heavy Gloves	0	5	5000	oran	oran						dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																										0
Chance Guards	104	0		1					1	1	20	15	mgl	Bracers	0	5	5000	lred	lred						gold%		200	200	mag%		37	40	att		25	25	ac		15	15	light		2	2	ac%		20	30																										0
Magefist	105	0		1					1	1	31	23	tgl	Light Gauntlets	0	5	5000	lgry	lgry						cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		5	6	ac		10	10	ac%		20	30																										0
Frostburn	106	0		1					1	1	39	29	hgl	Gauntlets	0	5	5000	dred	dred						ac		30	30	dmg%		5	5	mana%		40	40	dmg-cold	50	5	6	ac%		10	20																														0
Hotspur	107	0		1					1	1	7	5	lbt	Leather Boots	0	5	5000	cred	cred						res-fire-max		15	15	hp		15	15	dmg-fire		6	6	ac		6	6	res-fire		45	45	ac%		10	20																										0
Gorefoot	108	0		1					1	1	12	9	vbt	Heavy Boots	0	5	5000	dblu	dblu						bloody		3	5	move2		20	20	manasteal		2	2	thorns		2	2	ac		12	12	ac%		20	30	skill	132	2	2																						0
Treads of Cthon	109	0		1					1	1	20	15	mbt	Chain Boots	0	5	5000	lgrn	lgrn						move2		30	30	ac-miss		50	50	stamdrain		50	50	hp		10	10	ac		12	12	ac%		30	40																										0
Goblin Toe	110	0		1					1	1	30	22	tbt	Light Plate Boots	0	5	5000	dgry	dgry						crush		25	25	red-dmg		1	1	red-mag		1	1	ac		15	15	light		-1	-1	ac%		50	60																										0
Tearhaunch	111	0		1					1	1	39	29	hbt	Plate Boots	0	5	5000	dgrn	dgrn						ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		10	10	ac%		60	80	skill	115	2	2																						0
Lenyms Cord	112	0		1					1	1	10	7	lbl	Sash	0	5	5000	cgrn	cgrn						mana		15	15	regen-mana		30	30	res-all		5	5	light		1	1																																		0
Snakecord	113	0		1					1	1	16	12	vbl	Light Belt	0	5	5000	blac	blac						dmg-pois	75	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																										0
Nightsmoke	114	0		1					1	1	27	20	mbl	Belt	0	5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																										0
Goldwrap	115	0		1					1	1	36	27	tbl	Heavy Belt	0	5	5000	lblu	lblu						mag%		30	30	light		2	2	ac		25	25	swing2		10	10	ac%		40	60	gold%		73	80																										0
Bladebuckle	116	0		1					1	1	39	29	hbl	Girdle	0	5	5000	dyel	dyel						thorns		8	8	ac		30	30	red-dmg		3	3	str		5	5	dex		10	10	ac%		80	100	balance2		30	30																						0
Nokozan Relic	117	0		1					20	1	14	10	amu	Amulet	0	5	5000	lgld							dmg-fire		6	6	res-fire-max		10	10	res-fire		50	50	light		3	3	balance2		20	20																														0
The Eye of Etlich	118	0		1					5	1	20	15	amu	Amulet	0	5	5000	dgld							ac-miss		33	40	light		4	5	allskills		1	1	lifesteal		6	7	cold-min		2	2	cold-max		5	5	cold-len		200	250																						0
The Mahim-Oak Curio	119	0		1					10	1	34	25	amu	Amulet	0	5	5000	lpur							dex		10	10	str		10	10	enr		10	10	vit		10	10	ac		10	10	att%		10	10	res-all		10	10	ac%		10	10																		0
Nagelring	120	0		1					15	1	10	7	rin	Ring	0	5	5000	dpur							red-mag		3	3	thorns		3	3	att		69	75	mag%		27	30																																		0
Manald Heal	121	0		1					15	1	20	15	rin	Ring	0	5	5000	oran							manasteal		7	7	regen		8	8	hp		20	20	regen-mana		20	20																																		0
The Stone of Jordan	122	0		1					1	1	39	29	rin	Ring	0	5	5000	whit							mana		20	20	mana%		25	25	ltng-min		1	1	allskills		1	1	ltng-max		12	12																													1	0
Amulet of the Viper	123	0		1					1		0	0	vip	Amulet		5	5000	lgry							mana		10	10	res-pois		25	25	hp		10	10			0	0			0	0			0	0			0	0																						0
Staff of Kings	124	0		1					1		0	0	msf	Staff		5	5000	dgry							res-all		10	10	swing3		50	50			0	0			0	0			0	0			0	0			0	0																						0
Horadric Staff	125	0		1					1		0	0	hst	Staff		5	5000	blac							mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing3		50	50			0	0			0	0																						0
Hell Forge Hammer	126	0		1					1		0	0	hfh	Hammer		5	5000	cred							fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35			0	0			0	0			0	0																						0
KhalimFlail	127	0		1					1		0	0	qf1	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40			0	0			0	0			0	0																						0
SuperKhalimFlail	128	0		1					1		0	0	qf2	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																						0
Expansion																																																																										0
Coldkill	129	100		1					1	1	44	36	9ha	Hatchet	0	5	5000	cblu	cblu		invhaxu				dmg-cold	50	40	40	res-cold		15	15	res-cold-max		15	15	swing3		30	30	hit-skill	45	10	10	gethit-skill	44	10	5	dmg%		180	190																						0
Butcher's Pupil	130	100		1					1	1	47	39	9ax	Cleaver	0	5	5000	cblu	cblu		invaxeu				deadly		35	35	openwounds		25	25	dmg%		188	200	indestruct		1	1	swing3		30	30	dmg-norm		45	50																										0
Islestrike	131	100		1					1	1	51	43	92a	Twin Axe	0	5	5000								dru		2	2	str		10	10	dex		10	10	vit		10	10	enr		10	10	ac-miss		50	50	crush		25	25	dmg%		185	190	skill	233	1	1	skill	248	1	1										0
Pompe's Wrath	132	100		1					1	1	53	45	9mp	Crowbill	0	5	5000	cred	cred		invmpiu				hit-skill	244	4	8	slow		50	50	dmg-fire		122	150	knock		1	1	dmg%		163	170																														0
Guardian Naga	133	100		1					1	1	56	48	9wa	Naga	0	5	5000								hit-skill	92	5	8	thorns		15	15	res-pois		30	30	dmg%		173	180	dmg-pois	250	256	256	dmg-max		20	20																										0
Warlord's Trust	134	100		1					1	1	43	35	9la	Military Axe	0	5	5000	whit	whit						ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	rep-dur	25			dmg%		175	175																										0
