Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Arch-Angel's	0	1	1	90		67				0	128	sor	0	2	2									cgrn	amul												0	0
Slayer's	0	1	1	30		22				0	129	bar	0	1	1										mele	amul						rod	h2h				0	0
Berserker's	0	1	1	40		30				0	129	bar	0	2	2									cgrn	mele							rod	h2h				0	0
Berserker's	0	1	1	90		67				0	129	bar	0	2	2									cgrn	amul												0	0
																																					0	0
																																					0	0
Triumphant	0	1	1	3		2				0	132	mana-kill	0	1	1										mele	ring											0	0
Expansion																																						
Stout	100	1	1	1		1				4	101	ac		5	5										lcha												0	0
Stout	100	1	1	7		5				4	101	ac		9	9										lcha												0	0
Stout	100	1	1	12		9				4	101	ac		12	12										lcha												0	0
Burly	100	1	1	17		12				4	101	ac		15	15										lcha												0	0
Burly	100	1	1	22		16				12	101	ac		22	22										lcha												0	0
Burly	100	1	1	27		20				12	101	ac		30	30										lcha												0	0
Stalwart	100	1		32		24				12	101	ac		40	40										lcha												0	0
Stalwart	100	1		37		29				12	101	ac		50	50										lcha												0	0
Stalwart	100	1		42		34				24	101	ac		96	100										lcha												0	0
Stout	100	1	1	1		1				4	101	ac		3	3										mcha												0	0
Stout	100	1	1	14		10				4	101	ac		6	6										mcha												0	0
Stout	100	1	1	20		15				12	101	ac		12	12										mcha												0	0
Burly	100	1	1	26		19				12	101	ac		18	18										mcha												0	0
Burly	100	1	1	32		24				12	101	ac		29	30										mcha												0	0
Stalwart	100	1		38		30				12	101	ac		39	40										mcha												0	0
Stalwart	100	1		45		37				24	101	ac		59	60										mcha												0	0
Stout	100	1	1	1		1				4	101	ac		1	1										scha												0	0
Stout	100	1	1	21		15				12	101	ac		8	8										scha												0	0
Burly	100	1	1	36		28				12	101	ac		20	20										scha												0	0
Stalwart	100	1		48		40				24	101	ac		29	30										scha												0	0
Blanched	100	1	1	1		1				4	101	ac		8	8									whit	jewl												0	0
Eburin	100	1	1	16		12				4	101	ac		19	20									whit	jewl												0	0
Bone	100	1	1	32		24				12	101	ac		39	40									whit	jewl												0	0
Ivory	100	1		64		56				40	101	ac		62	64									whit	jewl												0	0
Sturdy	1	1	1	1		1				9	101	ac%		10	20										armo												0	0
Sturdy	1	1	1	4		3				9	101	ac%		21	30										armo												0	0
Strong	1	1	1	9		6				8	101	ac%		31	40										armo												0	0
Glorious	1	1	1	19		14				8	101	ac%		41	50										armo												0	0
Blessed	1	1	1	25		18				21	101	ac%		51	65										armo												0	0
Saintly	1	1	1	31		23				21	101	ac%		66	80									dgld	armo												0	0
Holy	1	1	1	36		27				18	101	ac%		81	100									dgld	armo												0	0
Godly	100	1		45		38				18	101	ac%		101	200									dgld	armo												0	0
Devious	1	0	1	7		5				5	102	red-mag		1	1										shld	circ	orb	wand	staf								0	0
Blank	1	0	1	14		10				4	102	red-mag		2	2										shld	circ	orb	wand	staf								0	0
Null	100	0	1	21		16				4	102	red-mag		3	5									dblu	shld	circ											0	0
Antimagic	100	0		28		21				4	102	red-mag		6	10									dblu	shld	circ											0	0
Red	100	0	1	4		3				4	103	dmg-min		1	2										lcha												0	0
Red	100	0	1	16		12				4	103	dmg-min		3	3										lcha												0	0
Sanguinary	100	0	1	28		21				4	103	dmg-min		4	4										lcha												0	0
Sanguinary	100	0	1	40		32				4	103	dmg-min		5	6										lcha												0	0
Bloody	100	0		52		46				4	103	dmg-min		7	8										lcha												0	0
Red	100	0	1	11		8				4	103	dmg-min		1	2									dred	mcha												0	0
Sanguinary	100	0	1	33		25				4	103	dmg-min		3	3									dred	mcha												0	0
Bloody	100	0		55		47				4	103	dmg-min		4	4									dred	mcha												0	0
Red	100	0	1	24		16				4	103	dmg-min		1	1									dred	scha												0	0
Sanguinary	100	0	1	41		33				4	103	dmg-min		2	2									dred	scha												0	0
Bloody	100	0		58		50				4	103	dmg-min		3	3									dred	scha												0	0
Scarlet	100	1	1	8		6				4	103	dmg-min		4	4									dred	jewl												0	0
Crimson	100	1	1	38		30				12	103	dmg-min		8	8									dred	jewl												0	0
Jagged	100	0	1	3		2				4	104	dmg-max		1	2										lcha												0	0
Jagged	100	0	1	10		7				4	104	dmg-max		3	4										lcha												0	0
Jagged	100	0	1	17		12				4	104	dmg-max		5	6										lcha												0	0
Forked	100	0	1	25		18				4	104	dmg-max		7	8										lcha												0	0
Forked	100	0	1	32		24				4	104	dmg-max		9	10										lcha												0	0
Serrated	100	0		39		31				4	104	dmg-max		11	12										lcha												0	0
Serrated	100	0		47		39				4	104	dmg-max		13	14										lcha												0	0
Jagged	100	0	1	10		7				4	104	dmg-max		1	1									blac	mcha												0	0
Jagged	100	0	1	20		15				4	104	dmg-max		2	2									blac	mcha												0	0
Forked	100	0	1	30		22				4	104	dmg-max		3	3									blac	mcha												0	0
Forked	100	0	1	40		32				4	104	dmg-max		4	5									blac	mcha												0	0
Serrated	100	0		50		42				4	104	dmg-max		6	7									blac	mcha												0	0
Jagged	100	0	1	23		17				4	104	dmg-max		1	1									blac	scha												0	0
Forked	100	0	1	38		30				4	104	dmg-max		2	2									blac	scha												0	0
Serrated	100	0		53		45				4	104	dmg-max		3	3									blac	scha												0	0
Carbuncle	100	1	1	12		9				4	104	dmg-max		5	5									dred	jewl												0	0
Carmine	100	1	1	35		27				12	104	dmg-max		9	9									dred	jewl												0	0
Vermillion	100	1		58		50				24	104	dmg-max		15	15									dred	jewl												0	0
Jagged	1	1	1	1		1				9	105	dmg%		19	20										weap	circ						staf	wand	orb			0	0
Deadly	1	1	1	5		3				9	105	dmg%		30	30										weap	circ						staf	wand	orb			0	0
Vicious	1	1	1	8		6				8	105	dmg%		40	40										weap							staf	wand	orb			0	0
Brutal	1	1	1	14		10				8	105	dmg%		50	50										weap							staf	wand	orb			0	0
Massive	1	1	1	20		15				21	105	dmg%		64	65									dgld	weap							staf	wand	orb			0	0
Savage	1	1	1	26		19				21	105	dmg%		79	80									dgld	weap							staf	wand	orb			0	0
Merciless	1	1	1	32		24				18	105	dmg%		99	100									dgld	weap							staf	wand	orb			0	0
Ferocious	100	1	1	41		33				36	105	dmg%		191	200									blac	weap							staf	wand	orb			0	0
Cruel	100	1		51		43				30	105	dmg%		291	300									blac	weap							staf	wand	orb			0	0
Cinnabar	100	1	1	1		1				4	105	dmg%		10	10									dred	jewl												0	0
Rusty	100	1	1	13		9				4	105	dmg%		20	20									dred	jewl												0	0
Realgar	100	1	1	45		37				24	105	dmg%		30	30									dred	jewl												0	0
Ruby	100	1		66		58				40	105	dmg%		40	40									dred	jewl												0	0
Vulpine	1	1	1	9		6				3	107	dmg-to-mana		12	12									cblu	shld	amul	orb	staf									0	0
Dun	100	1	1	7		5				3	107	dmg-to-mana		12	12										jewl												0	0
Tireless	1	1	1	6		4				4	108	regen-stam		25	25										boot												0	0
Tireless	100	1	1	14		10				4	108	regen-stam		50	50										boot												0	0
Brown	100	1	1	39		31				12	108	regen-stam		15	15										jewl												0	0
Rugged	100	1	1	1		1				4	109	stam		23	24										lcha												0	0
Rugged	100	1	1	7		5				4	109	stam		35	36										lcha												0	0
Rugged	100	1	1	21		15				12	109	stam		49	50										lcha												0	0
Rugged	100	1	1	1						4	109	stam		16	16										mcha													
Rugged	100	1	1	7		5				4	109	stam		25	25										mcha												0	0
Rugged	100	1	1	21		15				12	109	stam		32	32										mcha												0	0
Rugged	100	1	1	1						4	109	stam		8	8										scha													
Rugged	100	1	1	21		15				12	109	stam		16	16										scha												0	0
Rugged	1	1	1	1		1				4	109	stam		10	10										boot	glov	belt	ring	amul	circ							0	0
Rugged	1	1	1	8		6				4	109	stam		20	20										boot	belt											0	0
Rugged	1	1	1	8		6				4	109	stam		20	20										ring	amul	circ										0	0
Vigorous	100	1	1	16		12				4	109	stam		30	30										boot	belt											0	0
Chestnut	100	1	1	1		1				4	109	stam		15	15										jewl												0	0
Maroon	100	1	1	17		12				4	109	stam		25	25										jewl												0	0
Bronze	100	1	1	1		1				4	110	att		12	12										lcha												0	0
Bronze	100	1	1	7		5				4	110	att		26	27										lcha												0	0
Bronze	100	1	1	13		9				4	110	att		41	42										lcha												0	0
Iron	100	1	1	19		14				4	110	att		56	57										lcha												0	0
Iron	100	1	1	25		18				12	110	att		71	72										lcha												0	0
Iron	100	1	1	31		23				12	110	att		86	87										lcha												0	0
Steel	100	1		37		29				12	110	att		101	102										lcha												0	0
Steel	100	1		43		35				24	110	att		116	117										lcha												0	0
Steel	100	1		49		41				24	110	att		131	132										lcha												0	0
Bronze	100	1	1	1		1				4	110	att		8	8										mcha												0	0
Bronze	100	1	1	7		5				4	110	att		12	12										mcha												0	0
Bronze	100	1	1	16		12				4	110	att		24	25										mcha												0	0
Iron	100	1	1	25		18				12	110	att		37	38										mcha												0	0
Iron	100	1	1	34		26				12	110	att		50	51										mcha												0	0
Steel	100	1		43		36				24	110	att		63	64										mcha												0	0
Steel	100	1		52		44				24	110	att		76	77										mcha												0	0
Bronze	100	1	1	1		1				4	110	att		4	4										scha												0	0
Bronze	100	1	1	21		15				12	110	att		12	12										scha												0	0
Iron	100	1	1	39		31				12	110	att		23	24										scha												0	0
Steel	100	1		57		49				24	110	att		35	36										scha												0	0
Bronze	1	1	1	1		1				8	110	att		19	20										weap	ring	glov	amul	circ			staf	wand	orb			0	0
Iron	1	1	1	4		3				8	110	att		39	40										weap	ring	circ					staf	wand	orb			0	0
Steel	1	1	1	8		6				7	110	att		59	60										weap	ring	circ					staf	wand	orb			0	0
Silver	1	1	1	12		9				7	110	att		79	80										weap	ring	circ					staf	wand	orb			0	0
Gold	1	1	1	17		12				6	110	att		99	100									lgld	weap	ring	circ					staf	wand	orb			0	0
Platinum	1	1	1	22		16				18	110	att		119	120									lgld	weap	ring	circ					staf	wand	orb			0	0
Meteoric	1	1	1	27		20				15	110	att		148	150									lgld	weap							staf	wand	orb			0	0
Strange	100	1	1	32		24				15	110	att		286	300									lgld	weap							staf	wand	orb			0	0
Weird	100	1		37		27				12	110	att		436	450									lgld	weap							staf	wand	orb			0	0
Nickel	100	1	1	1		1				4	110	att		19	20										jewl												0	0
Tin	100	1	1	8		6				4	110	att		39	40										jewl												0	0
Silver	100	1	1	25		18				12	110	att		59	60										jewl												0	0
Argent	100	1		44		36				24	110	att		97	100										jewl												0	0
Fine	100	1	1	15		11				4	111	att		19	20	dmg-max		3	3						lcha												0	0
Fine	100	1	1	22		16				12	111	att		46	48	dmg-max		6	6						lcha												0	0
Sharp	100	1	1	29		21				12	111	att		74	76	dmg-max		10	10						lcha												0	0
Fine	100	1	1	19		14				4	111	att		19	20	dmg-max		3	3						mcha												0	0
Sharp	100	1	1	28		21				12	111	att		46	48	dmg-max		6	6						mcha												0	0
Fine	100	1		28		21				12	111	att		19	20	dmg-max		3	3						scha												0	0
Sharp	1	1	1	5		3				9	111	att		19	20	dmg%		19	20						weap							staf	wand	orb			0	0
Fine	1	1	1	12		9				9	111	att		39	40	dmg%		30	30						weap							staf	wand	orb			0	0
Warrior's	1	1	1	19		13				8	111	att		59	60	dmg%		40	40						weap							staf	wand	orb			0	0
Soldier's	1	1	1	27		19				24	111	att		79	80	dmg%		50	50						weap							staf	wand	orb			0	0
Knight's	1	1	1	38		30				21	111	att		99	100	dmg%		64	65					dgld	weap							staf	wand	orb			0	0
Lord's	1	1	1	47		39				36	111	att		119	120	dmg%		79	80					dgld	weap							staf	wand	orb			0	0
King's	1	1	1	56		48				30	111	att		148	150	dmg%		99	100					dgld	weap							staf	wand	orb			0	0
Master's	100	1	1	56		48				30	111	att		241	250	dmg%		146	150					dgld	weap							staf	wand	orb			0	0
Grandmaster's	100	1		69		61				40	111	att		296	300	dmg%		196	200					dgld	weap							staf	wand	orb			0	0
Glimmering	1	1	1	1		1				1	112	light		1	1										armo	wand	staf	ring	amul	orb							0	0
Glowing	1	1	1	6		4				1	112	light		2	2									lyel	armo	wand	staf	ring	amul	orb							0	0
Bright	100	1	1	1		1				1	112	light		1	1	att		10	10						jewl												0	0
Screaming	100	1	1	10		7				3	113	howl		32	32									oran	weap							miss	swor	axe	pole	spea	0	0
Howling	1	1	1	16		12				3	113	howl		64	64									oran	weap							miss	swor	axe	pole	spea	0	0
Wailing	100	1	1	20		13				9	113	howl		128	128									oran	weap							miss	swor	axe	pole	spea	0	0
Screaming	100	1	1	10		7				4	113	howl		16	16									oran	miss												0	0
Howling	100	1	1	16		12				4	113	howl		24	24									oran	miss												0	0
Wailing	100	1		24		18				12	113	howl		32	32									oran	miss												0	0
Lucky	100	1	1	21						12	114	mag%		4	4										lcha												0	0
Lucky	100	1		38						12	114	mag%		7	7										lcha												0	0
Lucky	100	1		55						24	114	mag%		12	12										lcha												0	0
Lucky	100	1	1	34						12	114	mag%		1	1										mcha												0	0
Lucky	100	1		53						24	114	mag%		3	3										mcha												0	0
Lucky	100	1		51						24	114	mag%		6	6										mcha												0	0
Felicitous	100	1	1	5		3				4	114	mag%		10	10										ring	amul	circ										0	0
Fortuitous	1	1		12		8				4	114	mag%		15	15										ring	amul	circ										0	0
Emerald	100	1	1	16		12				4	114	mag%		7	7										jewl												0	0
Lizard's	100	1	1	1		1				4	115	mana		7	7										lcha												0	0
Lizard's	100	1	1	7		5				4	115	mana		13	13										lcha												0	0
Lizard's	100	1	1	13		9				4	115	mana		20	20										lcha												0	0
Snake's	100	1	1	19		14				4	115	mana		26	26										lcha												0	0
Snake's	100	1	1	25		18				12	115	mana		33	33										lcha												0	0
Snake's	100	1	1	31		23				12	115	mana		39	39										lcha												0	0
Serpent's	100	1	1	37		29				12	115	mana		46	46										lcha												0	0
Serpent's	100	1	1	43		35				24	115	mana		52	52										lcha												0	0
Serpent's	100	1	1	49		41				24	115	mana		59	59										lcha												0	0
Lizard's	100	1	1	1		1				4	115	mana		4	4										mcha												0	0
Lizard's	100	1	1	9		6				4	115	mana		7	7										mcha												0	0
Lizard's	100	1	1	17		12				4	115	mana		12	12										mcha												0	0
Snake's	100	1	1	25		18				12	115	mana		18	18										mcha												0	0
Snake's	100	1	1	33		25				12	115	mana		23	23										mcha												0	0
Serpent's	100	1	1	41		33				24	115	mana		29	29										mcha												0	0
Serpent's	100	1	1	49		41				24	115	mana		34	34										mcha												0	0
Lizard's	100	1	1	16		12				4	115	mana		2	2										scha												0	0
Lizard's	100	1	1	16		12				4	115	mana		7	7										scha												0	0
Snake's	100	1	1	32		24				12	115	mana		12	12										scha												0	0
Serpent's	100	1		48		40				24	115	mana		17	17										scha												0	0
Lizard's	1	1	1	3		2				4	115	mana		5	5										armo	ring	amul	rod	orb			boot	glov				0	0
Snake's	1	1	1	6		4				4	115	mana		10	10										shld	rod	belt	ring	amul	circ							0	0
Serpent's	1	1	1	14		10				3	115	mana		20	20										shld	rod	belt	ring	amul	circ							0	0
Serpent's	1	1	1	37		27				6	115	mana		20	20										tors	boot	glov	weap	orb			rod					0	0
Drake's	1	1	1	20		15				6	115	mana		30	30									cblu	rod	ring	amul	orb	circ								0	0
Dragon's	1	1	1	24		18				6	115	mana		40	40									cblu	rod	ring	amul	orb	circ								0	0
Dragon's	1	1	1	52		39				12	115	mana		40	40									cblu	tors	boot	glov										0	0
Wyrm's	1	1	1	30		22				6	115	mana		59	60									cblu	rod	ring	amul	orb	circ								0	0
Great Wyrm's	100	1	1	37		29				6	115	mana		88	90									cblu	rod	ring	amul	orb	circ								0	0
Bahamut's	100	1		45		37				12	115	mana		118	120									cblu	rod	ring	amul	orb	circ								0	0
Zircon	100	1	1	3		2				2	115	mana		10	10									cblu	jewl												0	0
Jacinth	100	1	1	17		12				2	115	mana		15	15									cblu	jewl												0	0
Turquoise	100	1		29		21				6	115	mana		20	20									cblu	jewl													
Shimmering	100	1		8	13	6				1	116	res-all		6	6										lcha												1280	500
Shimmering	100	1		14	34	10				1	116	res-all		12	12										lcha												1280	1500
Shimmering	100	1		35		27				3	116	res-all		15	15										lcha												1280	5000
Shimmering	100	1		17	33	12				1	116	res-all		5	5									lpur	mcha												1280	1500
Shimmering	100	1		34		26				3	116	res-all		8	8									lpur	mcha												1280	5000
Shimmering	100	1		33		25				3	116	res-all		5	5									lpur	scha												1280	10000
Shimmering	100	1	1	6		4				5	116	res-all		7	7									lpur	shld												1280	500
Rainbow	100	1	1	18		13				5	116	res-all		11	11									lpur	shld												1280	2000
Scintillating	100	1	1	28		21				15	116	res-all		15	15									lpur	shld												1280	4000
Prismatic	1	1	1	39		31				12	116	res-all		20	20									lpur	shld												1280	8000
Chromatic	100	1		50		42				24	116	res-all		30	30									lpur	shld												1280	16000
Shimmering	100	1	1	8		6				5	116	res-all		7	7									lpur	amul	circ											1280	3000
Rainbow	100	1	1	21		15				15	116	res-all		11	11									lpur	amul	circ											1280	6000
Scintillating	100	1	1	34		25				15	116	res-all		15	15									lpur	amul	circ											1280	12000
Prismatic	1	1	1	42		31				24	116	res-all		20	20									lpur	amul	circ											1280	24000
Chromatic	100	1		55		41				18	116	res-all		30	30									lpur	amul	circ											1280	32000
Shimmering	100	1	1	45		37				18	116	res-all		7	7									lpur	ring												1280	4000
Rainbow	100	1	1	56		48				12	116	res-all		11	11									lpur	ring												1280	8000
Scintillating	100	1		67		59				20	116	res-all		15	15									lpur	ring												1280	16000
Shimmering	100	1	1	16		12				1	116	res-all		10	10									lpur	jewl												1280	3000
Scintillating	100	1		34		26				3	116	res-all		15	15									lpur	jewl												1280	8000
Azure	100	1	1	1		1				2	117	res-cold		15	15										lcha												0	0
Lapis	100	1	1	10		7				2	117	res-cold		20	20										lcha												0	0
Cobalt	100	1	1	20		15				6	117	res-cold		25	25										lcha												0	0
Sapphire	100	1		30		22				6	117	res-cold		30	30										lcha												0	0
Azure	100	1	1	1		1				2	117	res-cold		7	7										mcha												0	0
Lapis	100	1	1	16		12				2	117	res-cold		10	10										mcha												0	0
Cobalt	100	1	1	25		18				6	117	res-cold		12	12									lblu	mcha												0	0
Sapphire	100	1		35		27				6	117	res-cold		15	15									lblu	mcha												0	0
Azure	100	1	1	1		1				2	117	res-cold		5	5										scha												0	0
Lapis	100	1	1	14		10				2	117	res-cold		7	7										scha												0	0
Cobalt	100	1	1	27		20				6	117	res-cold		9	9									lblu	scha												0	0
Sapphire	100	1		40		32				12	117	res-cold		11	11									lblu	scha												0	0
Azure	1	1	1	5		3				2	117	res-cold		10	10										armo	weap	ring	amul	orb	circ							0	0
Lapis	1	1	1	12		9				4	117	res-cold		20	20										armo	ring	amul	orb	circ								0	0
Lapis	1	1	1	35		26				6	117	res-cold		20	20										weap							orb					0	0
Cobalt	1	1	1	18		13				3	117	res-cold		30	30										armo	ring	amul	orb	circ								0	0
Cobalt	1	1	1	55		41				12	117	res-cold		30	30										weap							orb					0	0
Sapphire	1	1	1	25		18				9	117	res-cold		40	40									lblu	rod	boot	amul	orb	circ								0	0
Lapis Lazuli	100	1	1	2		1				4	117	res-cold		14	15									lblu	jewl												0	0
Sapphire	100	1	1	19		14				4	117	res-cold		29	30									lblu	jewl												0	0
Crimson	100	1	1	1		1				2	118	res-fire		15	15										lcha												0	0
Russet	100	1	1	10		7				2	118	res-fire		20	20										lcha												0	0
Garnet	100	1	1	20		15				6	118	res-fire		25	25										lcha												0	0
Ruby	100	1		30		22				6	118	res-fire		30	30										lcha												0	0
Crimson	100	1	1	1		1				2	118	res-fire		7	7										mcha												0	0
Russet	100	1	1	16		12				2	118	res-fire		10	10										mcha												0	0
Garnet	100	1	1	25		18				6	118	res-fire		12	12									lred	mcha												0	0
Ruby	100	1		35		27				6	118	res-fire		15	15									lred	mcha												0	0
Crimson	100	1	1	1		1				2	118	res-fire		5	5										scha												0	0
Russet	100	1	1	14		10				2	118	res-fire		7	7									lred	scha												0	0
